# RBN active-skimmer → Maidenhead grid table.
# Source: Reverse Beacon Network's own node endpoint
#   https://www.reversebeacon.net/nodes/detail_json.php
# Each grid is the locator the skimmer operator self-reports in CW Skimmer /
# Skimmer Server — the same field RBN uses to geolocate spotters. 6-char grids.
# Snapshot of skimmers online ~2026-06-08; re-fetch the endpoint to refresh.
# Format: BASECALL,GRID  (RBN -# / portable suffixes are stripped at lookup time.)
3B8GL,LG89RR
5Z4GO,KI96UA
9M2CNC,OJ03TB
AA0O,EL87PS
AA4PA,EM55VD
AC0C,EM28QP
AK6RI,CM87XI
BA6KC,OM65XH
BD4UNT,OM92JB
BD8CS,OM30BP
BG0AJO/0,NN33SU
BG2TFW,PN11SW
BH4RRG,OM92IC
BH4XDZ,OM94NO
BI4MPH,PM07QM
BI7JMD,OL63NQ
CT1EYQ,IM58OB
DC8YZ,JN59MF
DE1LON,JO31HG
DF7GB,JN49CX
DK0TE,JN47RP
DK2GOX,JN49WS
DK3UA,JO64LF
DK3WW,JO62MG
DK8NE,JO50AL
DK9DA,JO33MJ
DK9IP,JN48FX
DL0LA,JN68CM
DL1HWS,JO61AQ
DL3OBQ,JN57UV
DL8LAS,JO54EF
DL8TG,JO52IJ
DM5GG,JO61UE
DM6EE,JO52KJ
DO4DXA,JN58QC
DP5G,JO30HT
DR4W,JN59SV
DR5X,JO54EF
E28AC,OK01CT
EA1DAV,IN53UG
EA2CW,IN83MG
EA2RCF,IN82PU
EA5WU,IM99WU
EA8/DF4UE,IL38BP
EI4HQ,IO51UU
ES2RR,KO29HG
ES5PC,KO38HJ
ET3AA,KJ99JA
F4BPO,JN36DG
F4GOU,JN05BX
F4VVG,JN48BX
F5AHD,JN37RO
F6IIT,JN06FQ
F6KGL,JN18GU
G0KTN,IO81TI
G4IRN,IO82MO
G4KCM,IO91EA
G4ZFE,IO91PK
GI4DOH,IO74DP
GX0FRE,IO82UC
HA1VHF,JN87GF
HA2NA,JN97IT
HA8TKS,JN96UV
HB9BXE,JN47EB
HB9DCO,JN37SM
HB9EMP,JN47GN
HB9GVO,JN46LI
HG8A,JN96RK
HS0ZGZ,OK16PX
IK3STG,JN55XK
IK4VET,JN54MM
IK6HIR,JN63KW
IK7YTT,JN81DC
IQ9RG,JM76GV
IT9GSF,JM67SS
IW9GDC,JM78SD
IZ2CPS,JN45SS
IZ8EYP,JM88FJ
JA1CCA,PM95QO
JA1JRS,PM95VS
JE1AEX,PM95LL
JI1HFJ,PM95SS
JJ2VLY,PM95JG
JK1QLQ,PM96MJ
JN1ILK,PM95ET
JO1YYP,PM95VW
K1RA,FM18CR
K3PA,EM29MD
K4PP,EM64LL
K5EM,CN87UQ
K5TR,EM00UF
K6FOD,DM04WC
K7CO,DN40BN
K7EK,EM77AT
K7RUT,CN87PE
K9IMM,EN52CV
K9LC,EN52MG
KB9HV,EN43LL
KC4YVA,FM17IL
KD2OGR,FN20SL
KD7EFG,DN31UO
KE3BK,CM97FS
KH6LC,BK29CW
KM3T,FN42ET
KO4BHX,FM06MF
KW7MM,DM42MM
LA6TPA,JP54RL
LB9KJ,JO29QJ
LU8XW,FD55UE
LZ3CB,KN32SN
LZ4AE,KN13US
LZ4UX,KN23TB
LZ5DI,KN12PQ
LZ7AA,KN12QQ
M1GEO,JO02EH
MM0ZBH,IO86IB
MM9PSY,IO86HA
N2CR,FN20SU
N2YCH,FN31JG
N5RZ,EM00MJ
N6TV,CM97CF
N7TUG,CN87TQ
N7VVX,DN40BW
N8DXE,EN91EF
N9CO,EN52QA
N9RU,EM57NS
NA3M,FM19JE
ND7K,DM34OB
NG7M,DN31XB
NH6HI,BL01FW
NN3RP,FM18LW
NU4F,EL96WD
OE3KLU,JN88FD
OE9GHV,JN47WK
OH0K/6,KP03SF
OH4KA,KP20NK
OK1HRA,JO60WA
ON6ZQ,JO20EQ
OZ1AAB,JO65CS
OZ1BZS,JO46LE
PA5KT,JO11WL
PA5WT,JO22HG
PE5TT,JO21TV
PI4CC,JO21BX
PT2FHC,GH64CG
PY2KNK,GG56NH
PY2PE,GG66PO
R4NCU,LO48VI
RK3TD,LO16QW
RN4WA,LO66PU
RU9CZD,MO07OD
S50U,JN66XD
S53WW,JN76HE
S54L,JN75FV
S58W,JN65UM
SE5E,JO89LW
SM1HEV,JO97BM
SM7IUN,JO65MR
SP5GQ,KO02LK
SP8R,KO10AA
SQ5J,KO02KF
SV1CDN,KM17TX
SZ1A,KM08QR
TF3Y,HP94BD
TI7W,EK70LR
V51YJ,JG87NJ
VE4DRK,EN19LU
VE6JY,DO33OR
VE6WZ,DO21ST
VE7CC,CN89RE
VK2GEL,QF55HJ
VK2RH,QF56OC
VK3RASA,QF21WV
VK6ANC,OF78WE
VU22DX,MK65VM
