"priority","key","english","portuguese","do_not_translate","notes"
"1","nav.aria","Operating mode","","","Short label on: main navigation bar. The same English text ""Operating mode"" is used by 2 different keys (e.g. operate.header.modes.aria) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","nav.digital.group.label","Digital","","","Short label on: main navigation bar. The same English text ""Digital"" is used by 2 different keys (e.g. memories.kind.digital) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","nav.digital.group.aria","Digital modes","","",""
"1","nav.digital.ft.title","FT weak-signal cockpit — FT8 / FT4 (pick the tier in the top bar)","","FT4 | FT8",""
"1","nav.digital.tempo.title","Tempo — two-way free-text calling (TempoFast / TempoDeep), with Roam (coordinated QSY) inside","","TempoDeep | TempoFast | QSY",""
"1","nav.digital.rtty.title","RTTY — Baudot teletype (45.45 baud): streaming decode + F-key macros","","Baudot | RTTY | 45.45",""
"1","nav.digital.psk.title","PSK31 — narrow-band keyboard mode: click a trace on the waterfall, read the ragchew (receive)","","PSK31",""
"1","nav.digital.sstv.title","SSTV — slow-scan TV: received images decode into the gallery","","SSTV",""
"1","nav.digital.aprs.title","APRS — AFSK-1200 packet: decode positions/messages, send a position beacon","","AFSK | APRS | AFSK-1200",""
"1","nav.phone.title","Phone (SSB) operating — PTT, sideband, RF power, panadapter (casual)","","PTT | SSB | RF",""
"1","nav.cw.title","CW operating — keyboard + F-key macros, WPM, spectrum (casual)","","WPM | CW",""
"1","nav.connect.label","Connect","","","Short label on: main navigation bar. The same English text ""Connect"" is used by 2 different keys (e.g. features.connect.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","nav.connect.title","Connect — THE map: grayline globe + live spots + openings + propagation, with click-to-work","","",""
"1","nav.needed.label","Needed","","","Short label on: main navigation bar. The same English text ""Needed"" is used by 4 different keys (e.g. roster.filter.needed, sat.schedule.column.needed, features.needed.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","nav.needed.title","Needed — what you still need that's on the air now; single-click to QSY","","QSY",""
"1","nav.spots.label","Spots","","","Short label on: main navigation bar. The same English text ""Spots"" is used by 4 different keys (e.g. globe.layer.spots, spots.title, features.spots.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","nav.spots.title","Spots — every cluster/RBN spot on the air (the raw firehose); filter by band/mode","","RBN",""
"1","nav.dxped.label","DXped","","DXped","Short label on: main navigation bar. The same English text ""DXped"" is used by 3 different keys (e.g. needed.filter.dxped, spots.legend.dxped.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","nav.dxped.title","DXpeditions — active now, the forward calendar, and what you need from each","","DXpeditions",""
"1","nav.sats.label","Satellites","","","Short label on: main navigation bar. The same English text ""Satellites"" is used by 4 different keys (e.g. globe.layer.sats, sat.head.title, features.sats.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","nav.sats.title","Satellites — pass times over your grid, favorites, polar plots, and rotor tracking","","",""
"1","nav.logbook.label","Logbook","","","Short label on: main navigation bar. The same English text ""Logbook"" is used by 3 different keys (e.g. logbook.title, features.logbook.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","nav.logbook.title","Logbook — your ADIF contacts","","ADIF",""
"1","nav.awards.label","Awards","","","Short label on: main navigation bar. The same English text ""Awards"" is used by 3 different keys (e.g. awards.title, features.awards.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","nav.awards.title","Awards — your Journey (firsts, ladders, milestones) + official DXCC/WAS/WAZ progress","","DXCC | WAS | WAZ | DXCC/WAS",""
"1","nav.stats.label","Stats","","","Short label on: main navigation bar. The same English text ""Stats"" is used by 2 different keys (e.g. features.stats.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","nav.stats.title","Statistics — your logbook sliced: QSOs by band/mode/year/hour, top DXCC entities, states, confirmations","","DXCC | QSOs",""
"1","nav.fieldDay.title","Field Day — contest rate workspace","","Field Day",""
"1","nav.fdClub.label","Club Board","","",""
"1","nav.fdClub.title","Club band board — who is on what band at every position on site, in its own window for a second monitor","","",""
"1","nav.pota.title","POTA / SOTA — parks & summits: who's on now (hunt) + tag your activation","","POTA | SOTA",""
